PLAYER_ID,DISPLAY_FIRST_LAST,POSITION
1628374,Lauri Markkanen,Forward-Center
1630230,Naji Marshall,Forward
1628997,Caleb Martin,Forward
1628998,Cody Martin,Forward
1630231,KJ Martin,Forward
1629726,Garrison Mathews,Guard
1631097,Bennedict Mathurin,Guard-Forward
202083,Wesley Matthews,Guard
1630178,Tyrese Maxey,Guard
1630219,Skylar Mays,Guard
1630540,Miles McBride,Guard
203468,CJ McCollum,Guard
204456,T.J. McConnell,Guard
1630183,Jaden McDaniels,Forward
1629667,Jalen McDaniels,Forward
203926,Doug McDermott,Forward
201580,JaVale McGee,Center-Forward
1631121,Bryce McGowens,Guard
1629162,Jordan McLaughlin,Guard
1629001,De'Anthony Melton,Guard
1641877,Nathan Mensah,Center
1630241,Sam Merrill,Guard
1629002,Chimezie Metu,Forward-Center
203995,Vasilije Micic,Guard
203114,Khris Middleton,Forward
1641706,Brandon Miller,Forward
1641757,Jordan Miller,Guard
1631159,Leonard Miller,Forward
201988,Patty Mills,Guard
1629003,Shake Milton,Guard-Forward
1631303,Justin Minaya,Forward
1631169,Josh Minott,Forward
1630558,Davion Mitchell,Guard
1628378,Donovan Mitchell,Guard
1630596,Evan Mobley,Center
1630600,Isaiah Mobley,Forward
1628370,Malik Monk,Guard
1630541,Moses Moody,Guard
1629875,Xavier Moon,Guard
1631386,Taze Moore,Guard
1631111,Wendell Moore Jr.,Guard
1629630,Ja Morant,Guard
202693,Markieff Morris,Forward
1628420,Monte Morris,Guard
202694,Marcus Morris Sr.,Forward
1630530,Trey Murphy III,Forward
1627749,Dejounte Murray,Guard
1627750,Jamal Murray,Guard
1631099,Keegan Murray,Forward
1631200,Kris Murray,Forward
203488,Mike Muscala,Forward-Center
1629004,Svi Mykhailiuk,Guard-Forward
1631250,Pete Nance,Forward
1626204,Larry Nance Jr.,Forward-Center
1629614,Andrew Nembhard,Guard-Forward
1630174,Aaron Nesmith,Guard-Forward
1627777,Georges Niang,Forward
1630227,Daishen Nix,Guard
1630192,Zeke Nnaji,Forward-Center
1629669,Jaylen Nowell,Guard
1641806,Markquis Nowell,Guard
1628373,Frank Ntilikina,Guard
203994,Jusuf Nurkic,Center
1629670,Jordan Nwora,Forward
1626220,Royce O'Neale,Forward
1629643,Chuma Okeke,Forward
1629006,Josh Okogie,Guard
1630168,Onyeka Okongwu,Forward-Center
1630171,Isaac Okoro,Forward-Guard
203482,Kelly Olynyk,Forward-Center
1630647,Eugene Omoruyi,Forward
1626224,Cedi Osman,Forward
1626162,Kelly Oubre Jr.,Forward-Guard
101108,Chris Paul,Guard
1626166,Cameron Payne,Guard
1627780,Gary Payton II,Guard
1641970,Maozinha Pereira,Forward
1641809,Drew Peterson,Forward
1630196,Filip Petrusev,Center
1641763,Julian Phillips,Forward
1629618,Jalen Pickett,Guard
1630590,Scotty Pippen Jr.,Guard
203486,Mason Plumlee,Forward-Center
1641764,Brandin Podziemski,Guard
1627751,Jakob Poeltl,Center
1630197,Aleksej Pokusevski,Forward
1629673,Jordan Poole,Guard
1629007,Jontay Porter,Center-Forward
1641854,Craig Porter Jr.,Guard
1629008,Michael Porter Jr.,Forward
203490,Otto Porter Jr.,Forward
1626171,Bobby Portis,Forward
204001,Kristaps Porzingis,Forward-Center
1630695,Micah Potter,Center
203939,Dwight Powell,Forward-Center
1626181,Norman Powell,Guard
1630554,Jason Preston,Guard
1630563,Joshua Primo,Guard
1627752,Taurean Prince,Forward
1630202,Payton Pritchard,Guard
1641765,Olivier-Maxence Prosper,Forward
1630243,Trevelin Queen,Guard
1629674,Neemias Queta,Center
1630193,Immanuel Quickley,Guard
1631311,Lester Quinones,Guard
1630186,Jahmi'us Ramsey,Guard
203944,Julius Randle,Forward-Center
1641871,Duop Reath,Center
1630559,Austin Reaves,Guard
1629629,Cam Reddish,Forward-Guard
1630194,Paul Reed,Forward
1629675,Naz Reid,Center-Forward
1631197,Jared Rhoden,Guard
1630208,Nick Richards,Center
1626196,Josh Richardson,Guard
1629130,Duncan Robinson,Forward
1629010,Jerome Robinson,Guard
1629011,Mitchell Robinson,Center-Forward
1631115,Orlando Robinson,Center
1630526,Jeremiah Robinson-Earl,Forward
1631223,David Roddy,Forward
1631157,Ryan Rollins,Guard
201565,Derrick Rose,Guard
1626179,Terry Rozier,Guard
1641712,Rayan Rupert,Guard-Forward
1626156,D'Angelo Russell,Guard
1630346,Matt Ryan,Forward
1627734,Domantas Sabonis,Forward-Center
1629677,Luka Samanic,Forward
1631257,Jermaine Samuels Jr.,Forward
1641766,Adama Sanogo,Forward
1630611,Gui Santos,Forward
203967,Dario Saric,Forward-Center
1630846,Olivier Sarr,Center
1631204,Marcus Sasser,Guard
1629678,Admiral Schofield,Forward
203471,Dennis Schroder,Guard
1631220,Dereon Seabron,Guard
1630578,Alperen Sengun,Center
1641729,Brice Sensabaugh,Forward
1629012,Collin Sexton,Guard
1629013,Landry Shamet,Guard
1630549,Day'Ron Sharpe,Center
1631101,Shaedon Sharpe,Guard
1641767,Ben Sheppard,Guard
1627783,Pascal Siakam,Forward
1627732,Ben Simmons,Guard-Forward
1628424,Kobi Simmons,Guard
1629014,Anfernee Simons,Guard
1630285,Zavier Simpson,Guard
1630579,Jericho Sims,Center
1631376,Dmytro Skapintsev,Center
1641771,Jalen Slawson,Forward
1630606,Javonte Smart,Guard
203935,Marcus Smart,Guard
1630696,Dru Smith,Guard
202397,Ish Smith,Guard
1630188,Jalen Smith,Forward-Center
1631173,Terquavion Smith,Guard
1628372,Dennis Smith Jr.,Guard
1631095,Jabari Smith Jr.,Forward
1641733,Nick Smith Jr.,Guard
1631110,Jeremy Sochan,Forward
1630311,Pat Spencer,Guard
1630531,Jaden Springer,Guard
1630205,Lamar Stevens,Forward
1630191,Isaiah Stewart,Forward-Center
1631124,Julian Strawther,Guard
1629622,Max Strus,Guard-Forward
1630591,Jalen Suggs,Guard
1631306,Cole Swider,Forward
1630256,Jae'Sean Tate,Forward
1628369,Jayson Tatum,Forward-Guard
1630678,Terry Taylor,Forward
202066,Garrett Temple,Guard-Forward
1631207,Dalen Terry,Forward
1628464,Daniel Theis,Forward-Center
1630560,Cam Thomas,Guard
202738,Isaiah Thomas,Guard
1641708,Amen Thompson,Guard-Forward
1641709,Ausar Thompson,Guard-Forward
202691,Klay Thompson,Guard
202684,Tristan Thompson,Center-Forward
1630550,JT Thor,Forward
1629680,Matisse Thybulle,Guard-Forward
