PLAYER_NAME,TEAM_NAME,Efficiency_HOME,LOCATION_HOME,Efficiency_AWAY,LOCATION_AWAY,Efficiency_DIFF
Terry Taylor,Chicago Bulls,2.75,HOME,2.11,AWAY,0.6400000000000001
Sam Merrill,Cleveland Cavaliers,7.58,HOME,8.21,AWAY,0.6300000000000008
Taylor Hendricks,Utah Jazz,10.41,HOME,9.78,AWAY,0.6300000000000008
Julian Champagnie,San Antonio Spurs,8.31,HOME,7.68,AWAY,0.6300000000000008
Caleb Houstan,Orlando Magic,3.7,HOME,4.31,AWAY,0.6099999999999994
Gordon Hayward,Oklahoma City Thunder,6.87,HOME,6.27,AWAY,0.6000000000000005
Troy Brown Jr.,Minnesota Timberwolves,5.28,HOME,4.68,AWAY,0.6000000000000005
Brice Sensabaugh,Utah Jazz,7.6,HOME,7.0,AWAY,0.5999999999999996
Jahmi'us Ramsey,Toronto Raptors,8.0,HOME,7.4,AWAY,0.5999999999999996
Malachi Flynn,Detroit Pistons,6.9,HOME,7.5,AWAY,0.5999999999999996
OG Anunoby,Toronto Raptors,14.79,HOME,15.38,AWAY,0.5900000000000016
Larry Nance Jr.,New Orleans Pelicans,11.48,HOME,10.89,AWAY,0.5899999999999999
AJ Griffin,Atlanta Hawks,1.33,HOME,0.75,AWAY,0.5800000000000001
Kentavious Caldwell-Pope,Denver Nuggets,11.67,HOME,11.09,AWAY,0.5800000000000001
Herbert Jones,New Orleans Pelicans,14.29,HOME,13.71,AWAY,0.5799999999999983
De'Aaron Fox,Sacramento Kings,24.22,HOME,23.65,AWAY,0.5700000000000003
Dillon Brooks,Houston Rockets,11.4,HOME,10.83,AWAY,0.5700000000000003
Ziaire Williams,Memphis Grizzlies,7.76,HOME,8.33,AWAY,0.5700000000000003
Shake Milton,Minnesota Timberwolves,4.15,HOME,4.72,AWAY,0.5699999999999994
Trayce Jackson-Davis,Golden State Warriors,13.0,HOME,12.45,AWAY,0.5500000000000007
Nathan Mensah,Charlotte Hornets,4.0,HOME,3.45,AWAY,0.5499999999999998
Andre Jackson Jr.,Milwaukee Bucks,3.78,HOME,4.32,AWAY,0.5400000000000005
Cade Cunningham,Detroit Pistons,21.63,HOME,21.09,AWAY,0.5399999999999991
Jaime Jaquez Jr.,Miami Heat,12.64,HOME,13.17,AWAY,0.5299999999999994
Alec Burks,Detroit Pistons,10.43,HOME,10.95,AWAY,0.5199999999999996
Richaun Holmes,Dallas Mavericks,5.67,HOME,6.18,AWAY,0.5099999999999998
Harry Giles III,Los Angeles Lakers,0.0,HOME,0.5,AWAY,0.5
Keyontae Johnson,Oklahoma City Thunder,1.0,HOME,1.5,AWAY,0.5
Jaylen Nowell,Detroit Pistons,7.5,HOME,8.0,AWAY,0.5
Yuta Watanabe,Memphis Grizzlies,2.0,HOME,2.5,AWAY,0.5
Kristaps Porzingis,Boston Celtics,22.95,HOME,23.44,AWAY,0.490000000000002
Patrick Beverley,Milwaukee Bucks,9.69,HOME,9.2,AWAY,0.4900000000000002
Tari Eason,Houston Rockets,14.38,HOME,13.89,AWAY,0.4900000000000002
Josh Minott,Minnesota Timberwolves,1.74,HOME,2.23,AWAY,0.49
Bruno Fernando,Atlanta Hawks,9.09,HOME,9.57,AWAY,0.4800000000000004
Markieff Morris,Dallas Mavericks,2.45,HOME,2.93,AWAY,0.48
Quentin Grimes,New York Knicks,6.35,HOME,6.82,AWAY,0.47000000000000064
Haywood Highsmith,Miami Heat,8.47,HOME,8.0,AWAY,0.47000000000000064
Juan Toscano-Anderson,Sacramento Kings,1.67,HOME,1.2,AWAY,0.47
Desmond Bane,Memphis Grizzlies,22.32,HOME,21.85,AWAY,0.46999999999999886
Christian Wood,Los Angeles Lakers,9.86,HOME,9.39,AWAY,0.46999999999999886
Joe Harris,Detroit Pistons,2.57,HOME,2.11,AWAY,0.45999999999999996
Tyrese Maxey,Philadelphia 76ers,23.97,HOME,23.51,AWAY,0.4599999999999973
Rayan Rupert,Portland Trail Blazers,4.43,HOME,4.88,AWAY,0.4500000000000002
Devin Vassell,San Antonio Spurs,18.14,HOME,18.59,AWAY,0.4499999999999993
CJ McCollum,New Orleans Pelicans,19.66,HOME,20.1,AWAY,0.4400000000000013
Coby White,Chicago Bulls,18.33,HOME,18.77,AWAY,0.4400000000000013
Taj Gibson,New York Knicks,2.36,HOME,2.8,AWAY,0.43999999999999995
Moses Moody,Golden State Warriors,8.76,HOME,8.32,AWAY,0.4399999999999995
Keita Bates-Diop,Brooklyn Nets,2.0,HOME,2.43,AWAY,0.43000000000000016
Aaron Gordon,Denver Nuggets,18.02,HOME,18.45,AWAY,0.4299999999999997
Rudy Gobert,Minnesota Timberwolves,25.1,HOME,24.67,AWAY,0.4299999999999997
Orlando Robinson,Miami Heat,4.58,HOME,5.0,AWAY,0.41999999999999993
Ochai Agbaji,Utah Jazz,6.5,HOME,6.08,AWAY,0.41999999999999993
Paolo Banchero,Orlando Magic,21.97,HOME,21.55,AWAY,0.41999999999999815
Dejounte Murray,Atlanta Hawks,22.37,HOME,22.78,AWAY,0.41000000000000014
Lester Quinones,Golden State Warriors,4.35,HOME,4.75,AWAY,0.40000000000000036
Al Horford,Boston Celtics,15.42,HOME,15.02,AWAY,0.40000000000000036
Landry Shamet,Washington Wizards,6.06,HOME,6.46,AWAY,0.40000000000000036
Trent Forrest,Atlanta Hawks,4.4,HOME,4.0,AWAY,0.40000000000000036
