PLAYER_ID,DISPLAY_FIRST_LAST,TEAM_ID,TEAM_ABBREVIATION,HEADSHOT_URL
1630177,Theo Maledon,0,,https://cdn.nba.com/headshots/nba/latest/1040x760/1630177.png
1630572,Sandro Mamukelashvili,1610612759,SAS,https://cdn.nba.com/headshots/nba/latest/1040x760/1630572.png
1629611,Terance Mann,1610612746,LAC,https://cdn.nba.com/headshots/nba/latest/1040x760/1629611.png
1630544,Tre Mann,1610612766,CHA,https://cdn.nba.com/headshots/nba/latest/1040x760/1630544.png
1626246,Boban Marjanovic,1610612745,HOU,https://cdn.nba.com/headshots/nba/latest/1040x760/1626246.png
1628374,Lauri Markkanen,1610612762,UTA,https://cdn.nba.com/headshots/nba/latest/1040x760/1628374.png
1630230,Naji Marshall,1610612740,NOP,https://cdn.nba.com/headshots/nba/latest/1040x760/1630230.png
1628997,Caleb Martin,1610612748,MIA,https://cdn.nba.com/headshots/nba/latest/1040x760/1628997.png
1628998,Cody Martin,1610612766,CHA,https://cdn.nba.com/headshots/nba/latest/1040x760/1628998.png
1630231,KJ Martin,1610612755,PHI,https://cdn.nba.com/headshots/nba/latest/1040x760/1630231.png
1629726,Garrison Mathews,1610612737,ATL,https://cdn.nba.com/headshots/nba/latest/1040x760/1629726.png
1631097,Bennedict Mathurin,1610612754,IND,https://cdn.nba.com/headshots/nba/latest/1040x760/1631097.png
202083,Wesley Matthews,1610612737,ATL,https://cdn.nba.com/headshots/nba/latest/1040x760/202083.png
1630178,Tyrese Maxey,1610612755,PHI,https://cdn.nba.com/headshots/nba/latest/1040x760/1630178.png
1630219,Skylar Mays,1610612747,LAL,https://cdn.nba.com/headshots/nba/latest/1040x760/1630219.png
1630540,Miles McBride,1610612752,NYK,https://cdn.nba.com/headshots/nba/latest/1040x760/1630540.png
203468,CJ McCollum,1610612740,NOP,https://cdn.nba.com/headshots/nba/latest/1040x760/203468.png
204456,T.J. McConnell,1610612754,IND,https://cdn.nba.com/headshots/nba/latest/1040x760/204456.png
1630183,Jaden McDaniels,1610612750,MIN,https://cdn.nba.com/headshots/nba/latest/1040x760/1630183.png
1629667,Jalen McDaniels,1610612761,TOR,https://cdn.nba.com/headshots/nba/latest/1040x760/1629667.png
203926,Doug McDermott,1610612754,IND,https://cdn.nba.com/headshots/nba/latest/1040x760/203926.png
201580,JaVale McGee,1610612758,SAC,https://cdn.nba.com/headshots/nba/latest/1040x760/201580.png
1631121,Bryce McGowens,1610612766,CHA,https://cdn.nba.com/headshots/nba/latest/1040x760/1631121.png
1629162,Jordan McLaughlin,1610612750,MIN,https://cdn.nba.com/headshots/nba/latest/1040x760/1629162.png
1629001,De'Anthony Melton,1610612755,PHI,https://cdn.nba.com/headshots/nba/latest/1040x760/1629001.png
1641877,Nathan Mensah,0,,https://cdn.nba.com/headshots/nba/latest/1040x760/1641877.png
1630241,Sam Merrill,1610612739,CLE,https://cdn.nba.com/headshots/nba/latest/1040x760/1630241.png
1629002,Chimezie Metu,1610612765,DET,https://cdn.nba.com/headshots/nba/latest/1040x760/1629002.png
203995,Vasilije Micic,1610612766,CHA,https://cdn.nba.com/headshots/nba/latest/1040x760/203995.png
203114,Khris Middleton,1610612749,MIL,https://cdn.nba.com/headshots/nba/latest/1040x760/203114.png
1641706,Brandon Miller,1610612766,CHA,https://cdn.nba.com/headshots/nba/latest/1040x760/1641706.png
1641757,Jordan Miller,1610612746,LAC,https://cdn.nba.com/headshots/nba/latest/1040x760/1641757.png
1631159,Leonard Miller,1610612750,MIN,https://cdn.nba.com/headshots/nba/latest/1040x760/1631159.png
201988,Patty Mills,1610612748,MIA,https://cdn.nba.com/headshots/nba/latest/1040x760/201988.png
1629003,Shake Milton,1610612752,NYK,https://cdn.nba.com/headshots/nba/latest/1040x760/1629003.png
1631303,Justin Minaya,1610612757,POR,https://cdn.nba.com/headshots/nba/latest/1040x760/1631303.png
1631169,Josh Minott,1610612750,MIN,https://cdn.nba.com/headshots/nba/latest/1040x760/1631169.png
1630558,Davion Mitchell,1610612758,SAC,https://cdn.nba.com/headshots/nba/latest/1040x760/1630558.png
1628378,Donovan Mitchell,1610612739,CLE,https://cdn.nba.com/headshots/nba/latest/1040x760/1628378.png
1630596,Evan Mobley,1610612739,CLE,https://cdn.nba.com/headshots/nba/latest/1040x760/1630596.png
1630600,Isaiah Mobley,1610612739,CLE,https://cdn.nba.com/headshots/nba/latest/1040x760/1630600.png
1628370,Malik Monk,1610612758,SAC,https://cdn.nba.com/headshots/nba/latest/1040x760/1628370.png
1630541,Moses Moody,1610612744,GSW,https://cdn.nba.com/headshots/nba/latest/1040x760/1630541.png
1629875,Xavier Moon,1610612746,LAC,https://cdn.nba.com/headshots/nba/latest/1040x760/1629875.png
1631386,Taze Moore,0,,https://cdn.nba.com/headshots/nba/latest/1040x760/1631386.png
1631111,Wendell Moore Jr.,1610612750,MIN,https://cdn.nba.com/headshots/nba/latest/1040x760/1631111.png
1629630,Ja Morant,1610612763,MEM,https://cdn.nba.com/headshots/nba/latest/1040x760/1629630.png
202693,Markieff Morris,1610612742,DAL,https://cdn.nba.com/headshots/nba/latest/1040x760/202693.png
1628420,Monte Morris,1610612750,MIN,https://cdn.nba.com/headshots/nba/latest/1040x760/1628420.png
202694,Marcus Morris Sr.,1610612739,CLE,https://cdn.nba.com/headshots/nba/latest/1040x760/202694.png
1630530,Trey Murphy III,1610612740,NOP,https://cdn.nba.com/headshots/nba/latest/1040x760/1630530.png
1627749,Dejounte Murray,1610612737,ATL,https://cdn.nba.com/headshots/nba/latest/1040x760/1627749.png
1627750,Jamal Murray,1610612743,DEN,https://cdn.nba.com/headshots/nba/latest/1040x760/1627750.png
1631099,Keegan Murray,1610612758,SAC,https://cdn.nba.com/headshots/nba/latest/1040x760/1631099.png
1631200,Kris Murray,1610612757,POR,https://cdn.nba.com/headshots/nba/latest/1040x760/1631200.png
203488,Mike Muscala,1610612760,OKC,https://cdn.nba.com/headshots/nba/latest/1040x760/203488.png
1629004,Svi Mykhailiuk,1610612738,BOS,https://cdn.nba.com/headshots/nba/latest/1040x760/1629004.png
1631250,Pete Nance,1610612739,CLE,https://cdn.nba.com/headshots/nba/latest/1040x760/1631250.png
1626204,Larry Nance Jr.,1610612740,NOP,https://cdn.nba.com/headshots/nba/latest/1040x760/1626204.png
1629614,Andrew Nembhard,1610612754,IND,https://cdn.nba.com/headshots/nba/latest/1040x760/1629614.png
1630174,Aaron Nesmith,1610612754,IND,https://cdn.nba.com/headshots/nba/latest/1040x760/1630174.png
1627777,Georges Niang,1610612739,CLE,https://cdn.nba.com/headshots/nba/latest/1040x760/1627777.png
1630227,Daishen Nix,1610612750,MIN,https://cdn.nba.com/headshots/nba/latest/1040x760/1630227.png
1630192,Zeke Nnaji,1610612743,DEN,https://cdn.nba.com/headshots/nba/latest/1040x760/1630192.png
1629669,Jaylen Nowell,0,,https://cdn.nba.com/headshots/nba/latest/1040x760/1629669.png
1641806,Markquis Nowell,0,,https://cdn.nba.com/headshots/nba/latest/1040x760/1641806.png
1628373,Frank Ntilikina,0,,https://cdn.nba.com/headshots/nba/latest/1040x760/1628373.png
203994,Jusuf Nurkic,1610612756,PHX,https://cdn.nba.com/headshots/nba/latest/1040x760/203994.png
1629670,Jordan Nwora,1610612761,TOR,https://cdn.nba.com/headshots/nba/latest/1040x760/1629670.png
1626220,Royce O'Neale,1610612756,PHX,https://cdn.nba.com/headshots/nba/latest/1040x760/1626220.png
1629643,Chuma Okeke,1610612753,ORL,https://cdn.nba.com/headshots/nba/latest/1040x760/1629643.png
1629006,Josh Okogie,1610612756,PHX,https://cdn.nba.com/headshots/nba/latest/1040x760/1629006.png
1630168,Onyeka Okongwu,1610612737,ATL,https://cdn.nba.com/headshots/nba/latest/1040x760/1630168.png
1630171,Isaac Okoro,1610612739,CLE,https://cdn.nba.com/headshots/nba/latest/1040x760/1630171.png
203482,Kelly Olynyk,1610612761,TOR,https://cdn.nba.com/headshots/nba/latest/1040x760/203482.png
1630647,Eugene Omoruyi,1610612764,WAS,https://cdn.nba.com/headshots/nba/latest/1040x760/1630647.png
1626224,Cedi Osman,1610612759,SAS,https://cdn.nba.com/headshots/nba/latest/1040x760/1626224.png
1626162,Kelly Oubre Jr.,1610612755,PHI,https://cdn.nba.com/headshots/nba/latest/1040x760/1626162.png
101108,Chris Paul,1610612744,GSW,https://cdn.nba.com/headshots/nba/latest/1040x760/101108.png
1626166,Cameron Payne,1610612755,PHI,https://cdn.nba.com/headshots/nba/latest/1040x760/1626166.png
1627780,Gary Payton II,1610612744,GSW,https://cdn.nba.com/headshots/nba/latest/1040x760/1627780.png
1641970,Maozinha Pereira,0,,https://cdn.nba.com/headshots/nba/latest/1040x760/1641970.png
1641809,Drew Peterson,1610612738,BOS,https://cdn.nba.com/headshots/nba/latest/1040x760/1641809.png
1630196,Filip Petrusev,0,,https://cdn.nba.com/headshots/nba/latest/1040x760/1630196.png
1641763,Julian Phillips,1610612741,CHI,https://cdn.nba.com/headshots/nba/latest/1040x760/1641763.png
1629618,Jalen Pickett,1610612743,DEN,https://cdn.nba.com/headshots/nba/latest/1040x760/1629618.png
1630590,Scotty Pippen Jr.,1610612763,MEM,https://cdn.nba.com/headshots/nba/latest/1040x760/1630590.png
