SEASON_YEAR,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,AVAILABLE_FLAG,PlayerID,PlayerName
2023-24,203937,Kyle Anderson,Kyle,1610612750,MIN,Minnesota Timberwolves,0042300314,2024-05-28T00:00:00,MIN @ DAL,W,24.966666666666665,1,3,0.333,0,0,0.0,0,0,0.0,3,1,4,4,0,3,0,1,3,0,2,0,21.8,0,0,16.0,1,1,1,1,3,7,7,10,3,4,3,5,5,5,2,7,4,3,8,1,5,12,13,8,9,5,2,1,1,5,1,203937,Kyle Anderson
2023-24,203937,Kyle Anderson,Kyle,1610612750,MIN,Minnesota Timberwolves,0042300313,2024-05-26T00:00:00,MIN @ DAL,L,16.966666666666665,5,6,0.833,0,0,0.0,0,0,0.0,0,0,0,3,2,0,2,0,2,1,10,-3,18.5,0,0,17.0,1,9,9,9,6,1,4,3,3,4,3,5,5,5,8,11,11,4,1,7,1,1,8,5,2,9,5,1,1,3,1,203937,Kyle Anderson
2023-24,203937,Kyle Anderson,Kyle,1610612750,MIN,Minnesota Timberwolves,0042300312,2024-05-24T00:00:00,MIN vs. DAL,L,20.438333333333333,2,5,0.4,0,0,0.0,3,4,0.75,0,5,5,5,0,0,0,0,3,2,7,4,20.5,0,0,17.0,1,9,9,9,4,5,5,7,3,4,3,2,1,3,8,1,3,2,8,7,5,1,13,1,3,3,3,1,1,3,1,203937,Kyle Anderson
2023-24,203937,Kyle Anderson,Kyle,1610612750,MIN,Minnesota Timberwolves,0042300311,2024-05-22T00:00:00,MIN vs. DAL,L,17.111666666666668,5,8,0.625,1,3,0.333,0,0,0.0,1,1,2,2,0,0,0,0,2,0,11,0,16.4,0,0,16.0,1,9,9,9,5,1,2,4,1,2,1,5,5,5,5,7,8,8,8,7,5,1,8,8,1,5,7,1,1,5,1,203937,Kyle Anderson
2023-24,203937,Kyle Anderson,Kyle,1610612750,MIN,Minnesota Timberwolves,0042300237,2024-05-19T00:00:00,MIN @ DEN,W,4.1,0,1,0.0,0,0,0.0,2,2,1.0,0,0,0,1,0,0,0,0,1,1,2,-1,3.5,0,0,3.0,1,1,1,1,15,13,12,13,3,4,3,3,3,1,8,11,11,11,8,7,5,1,2,5,9,7,13,1,1,13,1,203937,Kyle Anderson
2023-24,203937,Kyle Anderson,Kyle,1610612750,MIN,Minnesota Timberwolves,0042300236,2024-05-16T00:00:00,MIN vs. DEN,W,10.75,0,2,0.0,0,0,0.0,4,4,1.0,2,1,3,3,1,1,1,0,1,2,4,16,17.1,0,0,14.0,1,1,1,1,11,13,9,13,3,4,3,1,1,1,4,7,5,4,4,4,2,1,2,1,6,1,6,1,1,7,1,203937,Kyle Anderson
2023-24,203937,Kyle Anderson,Kyle,1610612750,MIN,Minnesota Timberwolves,0042300235,2024-05-14T00:00:00,MIN @ DEN,L,16.45,1,2,0.5,0,0,0.0,0,0,0.0,1,1,2,3,2,1,0,1,1,0,2,-4,9.9,0,0,9.0,1,9,9,9,8,7,9,5,3,4,3,5,5,5,5,7,8,4,1,4,5,12,2,8,9,10,10,1,1,9,1,203937,Kyle Anderson
2023-24,203937,Kyle Anderson,Kyle,1610612750,MIN,Minnesota Timberwolves,0042300234,2024-05-12T00:00:00,MIN vs. DEN,L,6.1883333333333335,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,1,0,0,-18,0.0,0,0,0.0,1,9,9,9,13,13,12,13,3,4,3,5,5,5,8,11,11,14,8,7,5,1,2,8,15,15,15,1,1,15,1,203937,Kyle Anderson
2023-24,203937,Kyle Anderson,Kyle,1610612750,MIN,Minnesota Timberwolves,0042300233,2024-05-10T00:00:00,MIN vs. DEN,L,13.45,1,3,0.333,0,0,0.0,1,2,0.5,0,0,0,1,0,2,0,0,0,2,3,-16,10.5,0,0,8.0,1,9,9,9,9,7,7,10,3,4,3,4,3,4,8,11,11,11,8,2,5,1,1,1,8,14,9,1,1,10,1,203937,Kyle Anderson
2023-24,203937,Kyle Anderson,Kyle,1610612750,MIN,Minnesota Timberwolves,0042300232,2024-05-06T00:00:00,MIN @ DEN,W,26.263333333333332,3,8,0.375,0,1,0.0,0,0,0.0,7,2,9,8,2,2,1,1,1,0,6,13,35.8,0,0,29.0,1,1,1,1,2,3,2,9,3,3,3,5,5,5,1,4,1,1,1,2,2,12,2,8,5,2,1,1,1,1,1,203937,Kyle Anderson
2023-24,203937,Kyle Anderson,Kyle,1610612750,MIN,Minnesota Timberwolves,0042300231,2024-05-04T00:00:00,MIN @ DEN,W,12.248333333333333,1,1,1.0,0,0,0.0,0,0,0.0,0,2,2,1,1,0,0,0,4,2,2,-9,4.9,0,0,5.0,1,1,1,1,10,7,12,1,3,4,3,5,5,5,8,4,8,11,4,7,5,1,15,1,9,12,12,1,1,12,1,203937,Kyle Anderson
2023-24,203937,Kyle Anderson,Kyle,1610612750,MIN,Minnesota Timberwolves,0042300164,2024-04-28T00:00:00,MIN @ PHX,W,16.668333333333333,2,5,0.4,0,0,0.0,0,0,0.0,3,4,7,2,0,0,0,0,2,0,4,-2,15.4,0,0,13.0,1,1,1,1,7,5,5,7,3,4,3,5,5,5,2,2,2,8,8,7,5,1,8,8,6,8,8,1,1,8,1,203937,Kyle Anderson
2023-24,203937,Kyle Anderson,Kyle,1610612750,MIN,Minnesota Timberwolves,0042300163,2024-04-26T00:00:00,MIN @ PHX,W,8.366666666666667,1,1,1.0,0,0,0.0,0,0,0.0,0,3,3,2,1,0,0,0,1,0,2,-5,7.6,0,0,7.0,1,1,1,1,12,7,12,1,3,4,3,5,5,5,8,3,5,8,4,7,5,1,2,8,9,11,11,1,1,11,1,203937,Kyle Anderson
